conceptID	entrezgeneID
3063788	216
3053467	2197
3063789	217
3063780	218
3064509	219
3051233	39
3058321	1134
3058346	1145
3058347	1146
3051245	43
3057016	429
3051398	50
3051311	48
3051304	56
3051295	70
3051301	72
3051296	71
3052990	2318
3051452	88
3051288	87
3051461	90
3066152	5984
3067766	5371
3058163	5981
3051459	92
3063047	6774
3051150	313
3050754	98
3063690	353
3051305	58
3000004	59
3051314	60
3061201	6646
3064805	327
3067402	8174
3063899	118
3063900	119
3063729	100
3063896	132
3064640	270
3063266	272
3063894	134
3063895	135
3059323	506
3063945	117
3063809	203
3063808	204
3064521	205
3063710	158
3063707	159
3063944	114
3061409	108
3059228	107
3057422	375
3063459	381
3063449	377
3063904	123
3061734	291
3053734	2230
3053731	2232
3063897	133
3063792	213
3000008	124
3063903	128
3000009	125
3063901	126
3063921	130
3063902	127
3054840	10327
3063778	226
3063771	231
3050747	2
3063951	173
3063946	174
3061524	463
3068890	4668
3053975	2595
3063717	150
3063907	146
3063906	147
3063909	148
3054605	4043
3064284	2526
3055483	6484
3063722	152
3063718	151
3055393	5663
3051250	26
3064685	908
3066503	6519
3061589	6541
3051455	95
3062251	374
3063579	279
3000022	280
3064644	276
3065315	6288
3065315	6289
3063609	6291
3063689	351
3064806	325
3063674	333
3057428	334
3063755	238
3063580	283
3063768	183
3063765	185
3056040	1636
3066579	6508
3064635	287
3063257	306
3063258	307
3062259	930
3064598	933
3064652	960
3064223	952
3064673	966
3064669	971
3064680	969
3051332	12
3066672	6590
3051914	462
3066537	6548
3061261	501
3051208	10849
3059970	3454
3054746	3459
3052554	7020
3063660	336
3063671	337
3063680	341
3063682	345
3064781	338
3063681	347
3063668	348
3063301	328
3060273	319
3064989	4035
3052555	7026
3063687	358
3063688	359
3059574	5917
3063447	384
3065817	608
3056060	1644
3062959	408
3054886	409
3056396	1543
3050748	9
3062843	2885
3063647	432
3063656	433
3058940	440
3060447	4677
3051317	47
3054624	509
3061590	487
3064816	490
3064820	493
3061605	491
3061580	488
3063234	527
3061492	529
3066297	4878
3066296	4881
3054606	4882
3069113	4883
3061202	6741
3057936	811
3063088	6737
3063393	558
3001024	7940
3066592	6510
3057867	671
3066571	6521
3065754	682
3064654	962
3059333	958
3064031	602
3064019	604
3063715	153
3063719	156
3063709	157
