omimID	conceptID	semtype
129500	162361	-47
264300	268296	-47
215600	1876166	-47
250460	1834821	-47
107650	520679	-47
208550	1859648	-47
107640	520680	-47
187600	2674173	-47
187601	1300257	-47
251300	795949	-47
225060	2931488	-47
172500	1809475	-47
264350	1449843	-47
225000	796139	-47
208540	2673885	-47
219800	15624	-47
609021	1836946	-47
609029	1836929	-47
609015	342786	-47
609016	342786	-47
145600	1840365	-47
278150	1848435	-47
172110	1868356	-47
173600	1868193	-47
609006	1837007	-47
214500	7965	-47
139210	796081	-47
609069	1836780	-47
609053	1836861	-47
145650	1840364	-47
609054	1836860	-47
609056	1836824	-47
609040	1836906	-47
188700	175756	-47
609049	1836876	-47
179600	34734	-47
179613	795822	-47
211480	40021	-47
139300	1841762	-47
136120	342895	-47
254600	398595	-47
253550	393538	-47
129490	1720965	-47
136140	729582	-47
226810	1856930	-47
304120	1844696	-47
115700	1861832	-47
255800	36391	-47
304110	220767	-47
248510	342849	-47
219900	268626	-47
143470	342883	-47
211400	2749757	-47
218800	10324	-47
248500	24748	-47
120100	343068	-47
270300	1849193	-47
211450	340231	-47
187501	1861234	-47
137200	242287	-47
137210	1850902	-47
262190	271695	-47
184850	1861457	-47
100600	889	-47
257920	796059	-47
107750	1862555	-47
120040	1861512	-47
251400	266200	-47
184840	1861481	-47
129600	2746069	-47
304700	796074	-47
257960	1850332	-47
122200	1690006	-47
551500	1328349	-47
202010	268292	-47
120080	1861502	-47
112910	1862130	-47
214450	1859194	-47
203100	268494	-47
139393	1841700	-47
145500	85580	-47
248360	342793	-47
252500	20725	-47
214400	1859198	-47
248370	432291	-47
270400	282644	-47
226900	1847593	-47
136000	1851080	-47
211390	796271	-47
248450	1855425	-47
249900	268262	-47
256850	1850386	-47
303100	344297	-47
144800	20494	-47
209300	1859593	-47
255700	751360	-47
226960	796021	-47
214370	1859206	-47
256800	20074	-47
203200	268497	-47
303110	1844836	-47
214350	406733	-47
256810	1850407	-47
215470	1859093	-47
194080	950121	-47
253601	1850889	-47
253600	1869123	-47
262020	1849805	-47
202110	268285	-47
107800	3742	-47
215450	1859098	-47
257980	796093	-47
225200	1644196	-47
183300	1866745	-47
226980	432217	-47
262000	266006	-47
211350	432239	-47
251505	1855053	-47
254780	1850764	-47
270420	267663	-47
215480	1859092	-47
129540	1851851	-47
194072	206115	-47
118980	265565	-47
264110	271586	-47
208300	8732	-47
251100	1855109	-47
257850	2749477	-47
145800	1840361	-47
250215	1855243	-47
181750	1866983	-47
150300	1835555	-47
304800	1563705	-47
250220	1855229	-47
135290	1851124	-47
257800	2936910	-47
217080	1857588	-47
250250	220748	-47
217095	1857586	-47
194470	1860229	-47
204870	339273	-47
217090	1274789	-47
203290	342683	-47
252600	33788	-47
180600	263489	-47
252605	1854896	-47
251190	1855089	-47
173800	1868156	-47
241850	1855794	-47
112600	1832702	-47
251120	1855100	-47
252650	238286	-47
251110	1855102	-47
305920	1844440	-47
187360	1956391	-47
203330	271870	-47
139500	263482	-47
280000	1848392	-47
254800	751785	-47
203300	2931875	-47
304350	1844680	-47
187370	1861238	-47
106400	20498	-47
270500	1849156	-47
253300	43116	-47
210100	1859518	-47
137400	1842051	-47
253310	1854664	-47
128100	1851945	-47
107970	1862512	-47
211200	1859404	-47
226650	2673609	-47
137440	17495	-47
270550	1849140	-47
226670	1856936	-47
144755	1840404	-47
144750	432273	-47
150250	1835564	-47
226600	79474	-47
187300	39445	-47
255600	1850671	-47
184900	1861456	-47
107900	1862534	-47
248700	796033	-47
264010	796189	-47
183086	752124	-47
251220	1855080	-47
183090	2931904	-47
135150	346010	-47
251200	1855081	-47
208400	2931840	-47
137280	2936660	-47
118865	1861558	-47
218600	265308	-47
137270	1850899	-47
150400	1835493	-47
118800	1869117	-47
194350	1327917	-47
304900	687720	-47
183020	1866774	-47
138000	1841984	-47
100800	1080	-47
128300	155411	-47
215700	175683	-47
241760	795989	-47
180500	265341	-47
251290	393591	-47
218670	1857471	-47
100820	1863416	-47
173900	85413	-47
251270	795793	-47
112700	1862140	-47
162900	334082	-47
251260	2930831	-47
214200	27877	-47
241800	342418	-47
179300	158761	-47
270600	1849139	-47
226700	79683	-47
254900	751779	-47
211170	1859406	-47
180550	1867155	-47
249700	432230	-47
203450	270726	-47
209500	1859592	-47
144600	20480	-47
106500	234906	-47
128235	1868681	-47
128230	1851920	-47
203400	268293	-47
254940	1850746	-47
210000	221061	-47
243910	1855675	-47
270685	2931276	-47
143500	17551	-47
187400	37856	-47
253400	152109	-47
264090	406586	-47
264080	1849699	-47
144650	20481	-47
257790	1850340	-47
137370	1842052	-47
250400	432225	-47
218700	1563716	-47
226750	406740	-47
139600	1841696	-47
122000	339284	-47
150360	1835494	-47
248600	1855371	-47
226730	1856934	-47
137360	1300229	-47
217100	1857583	-47
193090	342700	-47
121200	1852587	-47
607014	86795	-47
218350	1857511	-47
121201	1852581	-47
607015	86431	-47
143050	431800	-47
607016	26708	-47
205700	2880	-47
264700	268689	-47
214100	43459	-47
106100	19243	-47
179250	1867397	-47
151590	23652	-47
256520	265218	-47
277000	1698581	-47
177000	349426	-47
185800	1861385	-47
256540	268233	-47
184300	1384641	-47
218340	1857512	-47
256550	268228	-47
607039	1846896	-47
179280	1867396	-47
218330	432235	-47
607084	1846839	-47
607095	1846796	-47
263200	162510	-47
607060	1846862	-47
607078	1846843	-47
178110	1867440	-47
242700	1744558	-47
150550	272174	-47
181515	1866985	-47
202370	282525	-47
606003	1291329	-47
606002	1853761	-47
136500	2936827	-47
132100	393720	-47
208150	1276035	-47
208155	1859711	-47
208158	1859710	-47
216100	796099	-47
249620	796094	-47
215100	1859133	-47
152700	24141	-47
136520	1850993	-47
215105	1859132	-47
249600	265249	-47
250950	342727	-47
172900	406515	-47
215140	1300226	-47
213002	1859301	-47
180050	35305	-47
249650	796055	-47
167800	238339	-47
215150	432210	-47
202400	272350	-47
211000	268478	-47
250900	268622	-47
151660	1720860	-47
220700	1846647	-47
203500	2066	-47
151640	1835395	-47
256500	265962	-47
143000	1840475	-47
151630	1835396	-47
151623	2675080	-47
151620	1835402	-47
143020	1840474	-47
121270	1852576	-47
151610	1835403	-47
184260	2745953	-47
264800	376359	-47
203550	795895	-47
184255	432221	-47
179200	1867398	-47
184250	700635	-47
137600	1842031	-47
184460	1866656	-47
145980	1840348	-47
106230	1862867	-47
264600	268297	-47
241500	2673477	-47
256450	2931832	-47
251000	1855114	-47
104110	1863092	-47
122600	1852521	-47
241520	342643	-47
274150	1956258	-47
218450	1857495	-47
241510	220743	-47
219500	268616	-47
150600	23234	-47
400045	2748895	-47
241530	342645	-47
252150	268119	-47
132090	1851549	-47
241550	152101	-47
242600	268654	-47
255310	546264	-47
145900	11195	-47
252100	26363	-47
105200	268389	-47
182200	1866959	-47
167730	1868660	-47
181405	751335	-47
181400	1867005	-47
105120	1628319	-47
249500	1855304	-47
208250	1859690	-47
209700	263429	-47
215030	549472	-47
144400	20445	-47
181440	36310	-47
203600	265328	-47
181450	1866994	-47
204690	403549	-47
105150	1510489	-47
137550	1842036	-47
182290	1866927	-47
136480	1850996	-47
309000	28860	-47
182250	432254	-47
183700	1866741	-47
215045	1859148	-47
137500	1842039	-47
182260	149887	-47
203655	1859877	-47
152800	24215	-47
193050	473546	-47
182212	1321551	-47
182210	1866958	-47
217300	1857574	-47
167755	1868659	-47
248250	268448	-47
263450	220697	-47
219600	1384901	-47
184510	1866650	-47
241410	1855840	-47
139000	263471	-47
607271	1846545	-47
110050	796197	-47
607278	1709353	-47
607277	1846534	-47
607250	1846574	-47
607259	1846564	-47
607225	1846588	-47
137800	2750850	-47
107480	265246	-47
607236	1846582	-47
179000	272309	-47
253800	410174	-47
139090	272302	-47
247200	265219	-47
185600	1861418	-47
255200	410204	-47
172700	236642	-47
189961	520538	-47
189960	1861028	-47
184500	259771	-47
252270	1854978	-47
278300	268118	-47
202200	1859974	-47
249420	1855305	-47
136300	343108	-47
250700	878679	-47
220500	1857345	-47
187760	1861197	-47
203700	205710	-47
105250	268398	-47
181350	2750035	-47
122580	1852523	-47
253700	410173	-47
152950	1835265	-47
174900	1868081	-47
105210	2751492	-47
607330	1846421	-47
248300	25221	-47
607326	1846431	-47
209885	1319466	-47
209880	1876168	-47
607323	1623209	-47
607322	1846485	-47
607313	1846496	-47
256710	1860157	-47
203780	1567744	-47
256731	1850442	-47
256730	2931673	-47
248340	796032	-47
143200	1840452	-47
309350	25237	-47
203750	1536500	-47
602044.0003	28756	-47
203740	2752074	-47
607140	2982	-47
277100	268573	-47
607143	1846695	-47
219750	1857413	-47
242880	272167	-47
121300	342859	-47
607155	1846672	-47
217600	1622427	-47
219730	1857423	-47
607101	1846784	-47
121350	1852561	-47
150800	1835485	-47
607115	409818	-47
219700	10674	-47
256690	796088	-47
110150	1862259	-47
607136	1846707	-47
277170	2745997	-47
607133	1846720	-47
607132	1846721	-47
144250	20474	-47
249240	1855309	-47
172870	1868310	-47
247100	23795	-47
122450	1852541	-47
122430	1852543	-47
172880	1868309	-47
278250	406587	-47
264480	1849649	-47
252320	1854961	-47
264470	1849678	-47
255125	1850718	-47
204500	1876161	-47
270150	1527336	-47
185750	1861391	-47
242850	1855771	-47
122400	1852551	-47
255100	410214	-47
607196	1846648	-47
241310	1855848	-47
607197	1846647	-47
242840	1855772	-47
249210	1608393	-47
187950	40028	-47
242860	398788	-47
105400	1862941	-47
172800	80024	-47
107600	2931779	-47
250850	268621	-47
209950	694566	-47
270200	37231	-47
220400	22387	-47
249310	796086	-47
208000	1859727	-47
249300	344530	-47
209920	2931418	-47
208060	1859725	-47
144200	2931735	-47
209900	2673874	-47
